SUMMA 	 8192 	 961 	 624779.281000
SUMMA 	 8192 	 900 	 725023.536000
SUMMA 	 8192 	 841 	 745509.442000
SUMMA 	 8192 	 784 	 746979.755000
SUMMA 	 8192 	 729 	 851631.618000
SUMMA 	 8192 	 676 	 916390.229000
SUMMA 	 8192 	 625 	 1021493.151000
SUMMA 	 8192 	 576 	 1068566.191000
SUMMA 	 8192 	 529 	 1102215.022000
SUMMA 	 8192 	 484 	 1259950.788000
SUMMA 	 8192 	 441 	 1316950.789000
SUMMA 	 8192 	 400 	 1407399.967000
SUMMA 	 8192 	 361 	 1558451.983000
SUMMA 	 8192 	 324 	 1764676.302000
SUMMA 	 8192 	 289 	 1995063.995000
SUMMA 	 8192 	 256 	 2122255.218000
SUMMA 	 8192 	 225 	 2774895.197000
SUMMA 	 8192 	 196 	 3360269.634000
SUMMA 	 8192 	 169 	 3890711.785000
SUMMA 	 8192 	 144 	 5019776.481000
SUMMA 	 8192 	 121 	 6252200.588000
SUMMA 	 8192 	 100 	 9513652.524000
SUMMA 	 8192 	 81 	 12746811.322000
SUMMA 	 8192 	 64 	 19812212.808000
SUMMA 	 8192 	 49 	 28394575.610000
SUMMA 	 8192 	 36 	 38916602.409000
SUMMA 	 8192 	 25 	 41360451.662000
SUMMA 	 8192 	 16 	 41316208.916000
SUMMA 	 8192 	 9 	 53044621.497000
