1	0.01	1156.27	134.5861
4	0.03	1165.65	128.9748
2	0.01	1161.39	135.9427
5	0.04	1153.71	127.9886
4	0.03	1146.03	127.8605
7	0.05	1147.73	127.9289
1	0.01	1147.73	127.9289
8	0.06	1144.32	127.7694
11	0.08	1150.29	127.9886
5	0.03	1169.07	211.9636
16	0.11	1200.64	118.3983
19	0.13	1206.61	115.7643
13	0.09	1218.56	637.5582
32	0.23	1137.49	127.1753
35	0.25	1150.29	127.9886
29	0.20	1152.00	128.0000
64	0.45	1153.71	127.9886
67	0.48	1140.05	127.4413
61	0.43	1141.76	127.5897
128	0.90	1151.15	127.9972
131	0.91	1239.89	1021.1840
125	0.84	1207.47	115.3579
256	1.71	1208.32	114.9437
259	1.76	1267.20	1049.5219
253	1.79	1141.76	127.5897
512	3.59	1153.71	127.9886
515	3.62	1153.71	127.9886
509	3.58	1151.15	127.9972
1024	7.05	1175.89	125.7502
1027	7.12	1167.36	127.0751
1021	7.05	1173.33	126.2097
2048	13.64	1219.41	189.3919
2051	13.92	1192.11	121.5543
2045	14.01	1181.87	124.4668
4096	25.57	1282.56	39.0208
4099	25.85	1271.47	54.6400
4093	25.54	1283.41	41.6650
8192	45.78	1442.99	124.8873
8195	45.64	1447.25	121.8326
8189	45.55	1448.96	121.2694
16384	57.37	2292.05	168.0958
16387	57.71	2274.99	86.3681
16381	58.71	2238.29	113.7561
32768	76.09	3450.03	127.8605
32771	76.33	3478.19	844.5086
32765	78.33	3351.04	159.5779
65536	95.13	5514.24	132.6268
65539	95.17	5515.09	200.7257
65533	96.77	5419.52	96.1620
131072	106.80	9822.72	241.9302
131075	108.21	9721.17	854.1590
131069	109.27	9599.15	179.1980
262144	114.43	18356.91	914.0056
262147	116.68	17978.03	324.0151
262141	117.11	17908.91	180.0736
524288	89.23	47051.95	1797.1490
524291	89.44	46899.20	316.3094
524285	89.59	46818.99	383.7572
1048576	59.29	141543.25	3160.2678
1048579	148.41	56523.95	362.2186
1048573	58.65	144065.71	21352.4731
