SUMMA 	 2048 	 961 	 20313.082000
SUMMA 	 2048 	 900 	 20515.875000
SUMMA 	 2048 	 841 	 21019.692000
SUMMA 	 2048 	 784 	 23175.215000
SUMMA 	 2048 	 729 	 23478.628000
SUMMA 	 2048 	 676 	 26241.521000
SUMMA 	 2048 	 625 	 26511.896000
SUMMA 	 2048 	 576 	 27812.792000
SUMMA 	 2048 	 529 	 31712.238000
SUMMA 	 2048 	 484 	 32560.504000
SUMMA 	 2048 	 441 	 34191.520000
SUMMA 	 2048 	 400 	 37164.350000
SUMMA 	 2048 	 361 	 38919.371000
SUMMA 	 2048 	 324 	 42556.500000
SUMMA 	 2048 	 289 	 46013.132000
SUMMA 	 2048 	 256 	 49446.341000
SUMMA 	 2048 	 225 	 58021.459000
SUMMA 	 2048 	 196 	 67197.402000
SUMMA 	 2048 	 169 	 90693.124000
SUMMA 	 2048 	 144 	 90790.268000
SUMMA 	 2048 	 121 	 99772.190000
SUMMA 	 2048 	 100 	 121181.260000
SUMMA 	 2048 	 81 	 168025.808000
SUMMA 	 2048 	 64 	 159052.843000
SUMMA 	 2048 	 49 	 205604.997000
SUMMA 	 2048 	 36 	 257981.361000
SUMMA 	 2048 	 25 	 215886.198000
SUMMA 	 2048 	 16 	 271106.570000
SUMMA 	 2048 	 9 	 433353.448000
SUMMA 	 2048 	 4 	 866929.785000
